target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
0,0,720,540,false,0,0,0,,,,1.918190,5.893579,0.314888,,,52,6,2,0,0,63,63,60,60,10,3,55,0,,0,0,0,0,0,0,0,0,0,74,62,0,0,6605
0,1,720,540,false,0,0,0,,,,3.001021,10.095034,0.402037,,,48,8,7,0,0,67,67,63,63,22,4,53,0,,0,0,0,0,0,0,0,0,0,88,76,0,0,4403
0,2,720,540,false,0,0,0,,,,4.742146,12.093122,0.290011,,,43,2,4,0,0,52,52,49,49,10,4,45,0,,0,0,0,0,0,0,0,0,0,52,42,0,0,1427
0,3,720,540,false,0,0,0,,,,0.669454,0.669454,0.409056,,,51,2,0,0,0,55,55,53,53,2,2,52,0,,0,0,0,0,0,0,0,0,0,34,34,0,0,1192
0,4,720,540,false,0,0,0,,,,3.675830,7.648569,0.246550,,,50,8,1,0,0,62,62,59,59,10,3,54,0,,0,0,0,0,0,0,0,0,0,64,64,0,0,1250
0,5,720,540,false,0,0,0,,,,6.795915,9.541972,0.235148,,,49,8,1,0,0,58,58,58,58,10,3,53,0,,0,0,0,0,0,0,0,0,0,60,60,0,0,2049
1,0,720,540,false,0,0,0,,,,1.826748,2.663446,0.248354,,,60,6,2,0,0,79,79,68,68,10,3,63,0,,0,0,0,0,0,0,0,0,0,84,84,0,0,1369
1,1,720,540,false,0,0,0,,,,4.408628,9.264318,0.377385,,,50,6,7,0,0,66,66,63,63,20,4,54,0,,0,0,0,0,0,0,0,0,0,78,68,0,0,1390
1,2,720,540,false,0,0,0,,,,3.326054,13.715471,0.252548,,,52,4,1,0,0,64,64,57,57,6,3,54,0,,0,0,0,0,0,0,0,0,0,54,50,0,0,1292
1,3,720,540,false,0,0,0,,,,1.164875,1.164875,0.252754,,,48,2,0,0,0,52,52,50,50,2,2,49,0,,0,0,0,0,0,0,0,0,0,38,38,0,0,1114
1,4,720,540,false,0,0,0,,,,3.006977,9.170226,0.258056,,,50,8,1,0,0,63,63,59,59,10,3,54,0,,0,0,0,0,0,0,0,0,0,66,68,0,0,1141
1,5,720,540,false,0,0,0,,,,7.220589,9.938035,0.269317,,,53,10,1,0,0,64,64,64,64,12,3,58,0,,0,0,0,0,0,0,0,0,0,72,66,0,0,1613
2,0,720,540,false,0,0,0,,,,2.840102,20.625013,0.248484,,,59,8,2,0,0,79,79,69,69,12,3,63,0,,0,0,0,0,0,0,0,0,0,70,74,0,0,1215
2,1,720,540,false,0,0,0,,,,4.880935,8.185217,0.349439,,,53,6,7,0,0,67,67,66,66,20,4,57,0,,0,0,0,0,0,0,0,0,0,80,70,0,0,1285
2,2,720,540,false,0,0,0,,,,4.607080,7.892311,0.227325,,,50,6,1,0,0,64,64,57,57,8,3,53,0,,0,0,0,0,0,0,0,0,0,54,48,0,0,1278
2,3,720,540,false,0,0,0,,,,1.985481,2.450262,0.240100,,,53,4,0,0,0,58,58,57,57,4,2,55,0,,0,0,0,0,0,0,0,0,0,44,48,0,0,1709
2,4,720,540,false,0,0,0,,,,4.574560,7.571606,0.289399,,,51,8,1,0,0,63,63,60,60,10,3,55,0,,0,0,0,0,0,0,0,0,0,62,60,0,0,1414
2,5,720,540,false,0,0,0,,,,6.151569,9.309439,0.315055,,,55,10,2,0,0,69,69,67,67,14,3,60,0,,0,0,0,0,0,0,0,0,0,80,72,0,0,1174
3,0,720,540,false,0,0,0,,,,1.054486,1.054486,0.220789,,,64,2,0,0,0,68,68,66,66,2,2,65,0,,0,0,0,0,0,0,0,0,0,78,66,0,0,1431
3,1,720,540,false,0,0,0,,,,2.226860,8.967834,0.367218,,,30,26,9,0,0,72,72,65,65,44,4,44,0,,0,0,0,0,0,0,0,0,0,78,70,0,0,1236
3,2,720,540,false,0,0,0,,,,3.435203,10.738315,0.275520,,,23,33,12,0,0,79,79,68,68,57,5,40,0,,0,0,0,0,0,0,0,0,0,66,58,0,0,1227
