target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
0,0,720,540,true,20,15,6,0.905582,10.793555,19.049072,1.739458,5.628595,0.469852,18.208490,25.144932,34,10,28,6,7,119,119,85,85,112,31,43,30,20,20,0,44,0,634,15,0,0,0,0,0,0,0,2280
0,1,720,540,true,34,10,5,0.821772,0.494493,0.973741,2.377398,6.225950,0.416025,0.429763,0.972129,26,18,13,12,13,101,101,82,82,132,40,34,40,34,34,0,62,0,662,41,0,0,0,0,0,0,0,3016
0,2,720,540,true,33,11,5,0.889226,0.352776,0.671924,4.023255,8.860941,0.344501,0.395489,0.854159,23,13,11,15,7,83,83,69,69,108,40,27,40,33,33,0,218,0,758,41,0,0,0,0,0,0,0,1799
0,3,720,540,true,21,15,4,0.849284,14.532753,35.519058,2.083044,10.740322,0.309940,29.836723,37.586086,23,19,26,7,5,107,107,80,80,112,42,33,27,21,21,0,231,0,816,43,0,0,0,0,0,0,0,2176
0,4,720,540,true,34,10,6,0.822499,0.452769,0.764554,2.380184,6.630064,0.354276,0.383142,1.106059,28,11,8,13,13,93,93,73,73,118,41,31,41,34,34,0,62,0,588,38,0,0,0,0,0,0,0,2526
0,5,720,540,true,34,11,6,0.904412,0.435334,0.814480,3.172418,8.292185,0.256350,0.345267,0.954807,29,7,9,15,18,87,87,78,78,142,47,31,46,34,34,0,42,0,566,30,0,0,0,0,0,0,0,2002
1,0,720,540,true,20,10,5,0.692291,16.853357,29.822586,1.668356,5.677827,0.389586,0.496508,1.228004,36,10,24,6,5,123,123,81,81,96,34,43,26,20,20,0,54,0,552,12,0,0,0,0,0,0,0,1757
1,1,720,540,true,32,11,5,0.869085,0.342537,0.789514,1.920950,6.395694,0.371415,0.362514,0.747040,17,18,13,12,11,90,90,71,71,124,38,23,38,32,32,0,202,0,782,40,0,0,0,0,0,0,0,1750
1,2,720,540,true,32,11,5,0.835554,0.402517,0.734106,3.260691,8.740224,0.310398,0.434226,0.905698,29,7,14,15,10,104,104,75,75,120,40,33,40,32,32,0,266,0,818,40,0,0,0,0,0,0,0,1916
1,3,720,540,true,20,10,4,0.632158,17.392265,33.146164,2.046980,5.536483,0.281580,1.198078,36.111736,29,6,22,7,5,100,100,69,69,91,31,37,28,20,20,0,46,0,390,14,0,0,0,0,0,0,0,2053
1,4,720,540,true,31,10,5,0.793885,0.291641,0.616335,1.834193,6.444010,0.268176,0.320952,0.828044,31,7,10,14,15,91,91,77,77,129,39,35,39,31,31,0,54,0,619,43,0,0,0,0,0,0,0,1895
1,5,720,540,true,32,11,5,0.864595,0.284917,0.513353,3.399085,7.271679,0.273948,0.306255,0.697154,34,11,7,17,17,94,94,86,86,144,47,37,47,32,32,0,60,0,650,38,0,0,0,0,0,0,0,1741
2,0,720,540,true,22,7,6,0.615475,0.297326,0.680777,1.580096,5.070910,0.395353,0.302131,0.785283,34,15,22,10,6,128,128,87,87,113,36,44,29,22,22,0,50,0,613,17,0,0,0,0,0,0,0,1779
2,1,720,540,true,29,11,5,0.849001,0.293142,0.563755,2.022699,5.560293,0.383120,0.267697,0.692610,15,23,14,12,12,96,96,76,76,135,38,25,38,29,29,0,228,0,870,34,0,0,0,0,0,0,0,1624
