target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
0,0,720,540,true,20,15,5,0.893505,14.745880,36.959660,1.739458,5.628595,0.469852,10.064889,19.943048,34,10,28,6,7,119,119,85,85,112,31,43,30,,20,0,44,0,634,15,0,0,0,0,0,0,0,3903
0,1,720,540,true,40,10,6,0.821772,0.872733,1.543164,2.377398,6.225950,0.416025,0.689106,1.112402,26,18,13,12,13,101,101,82,82,132,40,34,40,,40,0,62,0,662,41,0,0,0,0,0,0,0,2549
0,2,720,540,true,40,11,5,0.889226,0.674677,1.602191,4.023255,8.860941,0.344501,0.601117,1.190689,23,13,11,15,7,83,83,69,69,108,40,27,40,,40,0,218,0,758,41,0,0,0,0,0,0,0,2341
0,3,720,540,true,20,15,5,0.849284,25.233778,67.012978,2.083044,10.740322,0.309940,18.353725,39.007832,23,19,26,7,5,107,107,80,80,112,42,33,27,,20,0,231,0,816,43,0,0,0,0,0,0,0,2476
0,4,720,540,true,41,10,6,0.822499,0.774319,1.657355,2.380184,6.630064,0.354276,0.562973,1.055903,28,11,8,13,13,93,93,73,73,118,41,31,41,,41,0,62,0,588,38,0,0,0,0,0,0,0,1839
0,5,720,540,true,45,11,6,0.904412,0.844533,1.781075,3.172418,8.292185,0.256350,0.614264,1.234868,29,7,9,15,18,87,87,78,78,142,47,31,46,,45,0,42,0,566,30,0,0,0,0,0,0,0,2507
1,0,720,540,true,24,13,5,0.862597,25.409386,50.676620,1.668356,5.677827,0.389586,0.420138,1.007617,36,10,24,6,5,123,123,81,81,96,34,43,26,,24,0,54,0,552,12,0,0,0,0,0,0,0,2120
1,1,720,540,true,37,11,6,0.869085,0.556472,1.081746,1.920950,6.395694,0.371415,0.528634,0.837130,17,18,13,12,11,90,90,71,71,124,38,23,38,,37,0,202,0,782,40,0,0,0,0,0,0,0,1950
1,2,720,540,true,40,11,5,0.835554,0.734732,1.363306,3.260691,8.740224,0.310398,0.629726,1.173938,29,7,14,15,10,104,104,75,75,120,40,33,40,,40,0,266,0,818,40,0,0,0,0,0,0,0,1910
1,3,720,540,true,21,14,4,0.872783,29.517639,56.181244,2.046980,5.536483,0.281580,0.731274,1.084152,29,6,22,7,5,100,100,69,69,91,31,37,28,,21,0,46,0,390,14,0,0,0,0,0,0,0,2132
