target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
0,0,720,540,true,20,15,5,0.895484,19.968334,47.180176,2.098302,6.696809,0.313766,12.580597,27.515179,38,20,38,8,9,119,119,113,113,156,51,50,33,,20,0,85,0,874,113,0,0,0,0,0,0,0,4013
0,1,720,540,true,50,12,7,0.961227,1.045802,2.177016,2.397622,8.553329,0.401666,0.772724,1.307739,29,20,20,15,17,101,101,101,101,173,50,39,50,,50,0,71,0,950,162,0,0,0,0,0,0,0,2318
0,2,720,540,true,45,12,6,0.957952,0.747025,1.448880,4.005414,11.573729,0.358539,0.633269,1.668092,26,14,10,19,13,83,83,82,82,143,47,32,46,,45,0,61,0,682,135,0,0,0,0,0,0,0,2376
0,3,720,540,true,20,16,5,0.905487,24.571667,72.916328,2.195728,13.314375,0.289308,0.540824,21.945154,29,19,38,11,6,107,107,103,103,152,46,42,30,,20,0,45,0,737,147,0,0,0,0,0,0,0,2868
0,4,720,540,true,47,11,6,0.913830,0.995058,1.975415,2.377234,9.843682,0.325390,0.599254,2.648179,30,15,15,13,20,93,93,93,93,164,48,39,47,,47,0,65,0,883,186,0,0,0,0,0,0,0,3090
0,5,720,540,true,47,11,6,0.918489,0.873453,1.809505,3.172418,9.028321,0.257474,0.622610,1.234868,24,14,10,18,21,87,87,87,87,172,49,32,48,,47,0,105,0,716,112,0,0,0,0,0,0,0,2582
1,0,720,540,true,29,14,6,0.925475,26.728313,53.984524,2.361306,11.272053,0.268235,0.516612,1.179182,34,37,32,10,10,123,123,123,123,171,41,54,31,,29,0,104,0,900,111,0,0,0,0,0,0,0,2364
1,1,720,540,true,46,12,7,0.946353,0.771373,1.625673,2.180716,7.525530,0.322587,0.600542,1.146578,19,27,13,15,16,90,90,90,90,162,46,30,46,,46,0,36,0,674,108,0,0,0,0,0,0,0,2062
1,2,720,540,true,47,11,6,0.847484,0.795293,1.914618,3.128828,10.980486,0.311300,0.569009,1.529849,38,19,17,18,9,104,104,101,101,143,47,47,47,,47,0,88,0,784,154,0,0,0,0,0,0,0,2315
1,3,720,540,true,20,16,4,0.923555,27.708105,57.818485,2.319655,7.499753,0.331427,0.510679,1.164206,21,24,30,8,8,100,100,91,91,140,39,40,34,,20,0,175,0,982,160,0,0,0,0,0,0,0,3310
1,4,720,540,true,51,12,7,0.947980,0.785659,2.015072,1.915417,8.145683,0.298659,0.546755,1.381563,27,13,14,15,21,91,91,90,90,170,53,32,52,,51,0,59,0,811,151,0,0,0,0,0,0,0,2502
