target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
0,0,720,540,true,20,16,6,0.917547,18.996798,49.153011,2.179609,9.162480,0.325298,23.121544,136.027664,33,25,43,9,9,119,119,,119,174,52,47,34,,20,0,85,0,926,130,0,0,0,0,0,0,0,3871
0,1,720,540,true,50,12,7,0.961227,1.045802,2.177016,2.397622,8.553329,0.401666,0.772724,1.307739,29,20,20,15,17,101,101,,101,173,50,39,50,,50,0,71,0,950,162,0,0,0,0,0,0,0,2340
0,2,720,540,true,45,12,6,0.957952,0.747025,1.448880,4.005414,11.573729,0.356042,0.633269,1.668092,27,14,10,19,13,83,83,,83,143,47,33,46,,45,0,61,0,696,142,0,0,0,0,0,0,0,2353
0,3,720,540,true,20,16,5,0.905487,24.571667,72.916328,2.201056,13.314375,0.280150,0.540824,21.945154,30,19,40,12,6,107,107,,107,159,46,41,30,,20,0,55,0,799,173,0,0,0,0,0,0,0,3497
0,4,720,540,true,46,11,6,0.913830,0.883436,1.581203,2.377234,9.843682,0.325390,0.574575,1.163394,30,15,15,13,20,93,93,,93,164,48,39,47,,46,0,65,0,883,186,0,0,0,0,0,0,0,2812
0,5,720,540,true,47,11,6,0.918489,0.873453,1.809505,3.172418,9.028321,0.257474,0.622610,1.234868,24,14,10,18,21,87,87,,87,172,49,32,48,,47,0,105,0,716,112,0,0,0,0,0,0,0,3081
1,0,720,540,true,29,14,6,0.925475,26.728313,53.984524,2.361306,11.272053,0.268235,0.516612,1.179182,34,37,32,10,10,123,123,,123,171,41,54,31,,29,0,104,0,900,111,0,0,0,0,0,0,0,2384
1,1,720,540,true,46,12,7,0.946353,0.771373,1.625673,2.180716,7.525530,0.322587,0.600542,1.146578,19,27,13,15,16,90,90,,90,162,46,30,46,,46,0,36,0,674,108,0,0,0,0,0,0,0,2271
1,2,720,540,true,47,11,6,0.847484,0.795293,1.914618,3.152242,14.239978,0.322699,0.569009,1.529849,38,21,18,18,9,104,104,,104,147,47,48,47,,47,0,102,0,819,165,0,0,0,0,0,0,0,2311
1,3,720,540,true,20,17,4,0.908919,30.947329,52.646595,2.484468,10.193265,0.316189,0.535978,0.826750,27,26,30,9,8,100,100,,100,145,42,47,35,,20,0,181,0,1115,217,0,0,0,0,0,0,0,3402
1,4,720,540,true,51,12,7,0.947980,0.785659,2.015072,1.901634,6.563293,0.312655,0.546755,1.381563,31,10,14,17,19,91,91,,91,165,52,35,52,,51,0,64,0,833,158,0,0,0,0,0,0,0,2643
1,5,720,540,true,52,12,7,0.908393,1.005995,1.653934,3.487659,8.916375,0.263979,0.505880,1.093527,29,15,12,18,20,94,94,,94,173,54,37,53,,52,0,62,0,763,93,0,0,0,0,0,0,0,2446
2,0,720,540,true,30,13,6,0.903856,24.781277,47.324398,2.259645,12.412592,0.321021,0.432678,1.139343,37,34,34,14,9,128,128,,128,180,43,54,33,,30,0,162,0,1055,140,0,0,0,0,0,0,0,2624
2,1,720,540,true,51,12,7,0.944412,0.796035,1.649732,1.982490,6.642410,0.367657,0.548751,1.075858,22,25,15,15,19,96,96,,96,176,53,32,52,,51,0,60,0,836,151,0,0,0,0,0,0,0,2514
2,2,720,540,true,50,12,6,0.924873,0.817352,1.750846,3.827665,10.918331,0.316928,0.544675,1.215757,49,15,17,16,12,109,109,,109,145,51,55,51,,50,0,102,0,888,189,0,0,0,0,0,0,0,2699
2,3,720,540,true,24,15,5,0.955591,21.879051,50.022945,1.682781,7.804461,0.409793,0.674615,0.778335,25,20,29,6,8,88,88,,88,128,42,38,33,,24,0,171,0,956,142,0,0,0,0,0,0,0,2907
2,4,720,540,true,51,12,7,0.954204,0.835761,1.911194,2.536527,10.498875,0.282381,0.622477,1.246118,29,24,15,15,19,102,102,,102,175,55,37,54,,51,0,76,0,898,208,0,0,0,0,0,0,0,3317
2,5,720,540,true,52,13,6,0.964089,0.790954,1.689578,3.008698,7.718168,0.250733,0.477013,0.972565,36,11,16,17,19,99,99,,99,170,54,42,53,,52,0,36,0,887,150,0,0,0,0,0,0,0,2519
3,0,720,540,true,31,16,5,0.918455,33.483326,62.031742,1.612485,6.621800,0.340162,0.443565,0.819550,34,18,35,10,10,107,107,,107,158,45,47,37,,31,0,68,0,805,106,0,0,0,0,0,0,0,2812
3,1,720,540,true,55,12,8,0.948008,0.744934,1.285534,1.701223,6.148373,0.379817,0.510477,1.024365,33,20,17,20,16,106,106,,106,178,55,41,55,,55,0,73,0,933,195,0,0,0,0,0,0,0,2292
3,2,720,540,true,47,12,6,0.832602,0.671613,1.498332,3.257833,7.898089,0.302850,0.567185,1.157355,56,13,15,14,20,118,118,,118,165,47,62,47,,47,0,101,0,965,227,0,0,0,0,0,0,0,2357
3,3,720,540,true,22,16,5,0.954048,16.388136,35.144001,1.628044,6.631745,0.353300,0.887233,1.483169,24,10,38,8,5,85,85,,85,130,45,32,35,,22,0,32,0,619,75,0,0,0,0,0,0,0,2994
3,4,720,540,true,53,12,7,0.879497,0.809706,1.572621,2.089901,6.311655,0.266565,0.515059,1.172414,29,15,12,17,23,96,96,,96,182,53,36,53,,53,0,57,0,821,170,0,0,0,0,0,0,0,2159
3,5,720,540,true,61,13,7,0.956856,0.815769,2.870672,3.009163,7.038865,0.307649,0.599093,3.263649,46,15,19,14,28,122,122,,122,207,62,54,62,,61,0,79,0,1128,218,0,0,0,0,0,0,0,2706
4,0,720,540,true,45,10,10,0.952541,0.866847,1.781649,2.230822,10.718944,0.426133,0.399424,0.995522,45,39,22,12,14,132,132,,132,175,46,64,46,,45,0,152,0,1196,170,0,0,0,0,0,0,0,2464
4,1,720,540,true,44,12,7,0.945839,0.920365,1.868724,2.347208,10.261021,0.412785,0.588924,1.593814,32,25,21,12,10,100,100,,100,143,45,44,45,,44,0,88,0,1002,149,0,0,0,0,0,0,0,2376
4,2,720,540,true,47,12,6,0.962966,0.818347,1.861446,2.812440,8.865335,0.365826,0.488817,1.647820,43,6,11,16,18,94,94,,94,148,47,46,47,,47,0,42,0,599,103,0,0,0,0,0,0,0,2093
4,3,720,540,false,0,0,0,,,,2.529533,10.206448,0.315670,,,29,19,47,7,2,104,104,,104,142,38,45,0,,0,0,40,0,595,95,0,0,0,0,0,0,0,1626
4,4,720,540,true,46,11,6,0.920058,1.004045,1.825900,2.025779,6.513378,0.229578,0.634918,1.272491,18,14,8,14,17,71,71,,71,140,47,22,47,,46,0,92,0,478,85,0,0,0,0,0,0,0,2314
4,5,720,540,true,53,12,7,0.951716,1.143965,2.008819,2.397192,10.837297,0.361261,0.623600,1.397666,26,23,18,16,20,103,103,,103,187,58,35,56,,53,0,132,0,998,203,0,0,0,0,0,0,0,3170
5,0,720,540,false,0,0,0,,,,2.480479,9.692557,0.402473,,,37,23,22,10,7,99,99,,99,125,21,48,0,,0,0,72,0,551,65,0,0,0,0,0,0,0,1657
5,1,720,540,true,40,12,5,0.950365,0.791466,1.379957,1.944439,6.704445,0.326647,0.524932,1.097643,18,14,9,15,13,69,69,,69,129,40,24,40,,40,0,46,0,578,92,0,0,0,0,0,0,0,1923
5,2,720,540,true,40,10,6,0.807865,0.763929,1.609529,2.876684,11.071826,0.292952,0.730703,1.631617,26,13,8,13,16,76,76,,76,132,41,33,41,,40,0,38,0,526,110,0,0,0,0,0,0,0,2127
5,3,720,540,false,0,0,0,,,,2.149802,11.140326,0.465523,,,23,27,42,3,0,95,95,,95,120,28,44,0,,0,0,220,0,1020,176,0,0,0,0,0,0,0,1629
5,4,720,540,true,43,11,6,0.897739,0.852089,1.864303,2.787851,10.957345,0.412747,0.695211,1.475434,22,19,17,13,13,84,84,,84,144,44,32,44,,43,0,111,0,693,149,0,0,0,0,0,0,0,2259
5,5,720,540,true,33,8,5,0.673208,1.003747,1.606219,2.301958,9.821716,0.444461,0.584650,1.242133,34,22,17,9,15,97,97,,97,143,37,42,37,,33,0,67,0,822,118,0,0,0,0,0,0,0,2708
6,0,720,540,true,20,16,5,0.929270,15.678795,29.572903,2.428952,8.937535,0.322890,17.348700,35.417446,35,29,40,7,5,116,116,,116,150,49,50,29,,20,0,50,0,651,123,0,0,0,0,0,0,0,2655
6,1,720,540,true,47,12,8,0.960103,0.853866,1.585513,1.799154,5.190193,0.377122,0.558487,1.258286,28,17,15,13,17,90,90,,90,154,47,37,47,,47,0,58,0,773,151,0,0,0,0,0,0,0,2092
6,2,720,540,true,50,12,7,0.941895,0.888040,1.829089,2.992934,10.693754,0.287662,0.626788,2.057235,32,28,11,21,19,111,111,,111,189,54,46,52,,50,0,56,0,887,180,0,0,0,0,0,0,0,2657
6,3,720,540,true,30,13,7,0.914940,24.677927,57.221142,2.346553,12.125389,0.249773,0.614094,1.417234,30,20,35,7,12,104,104,,104,159,41,42,39,,30,0,56,0,772,161,0,0,0,0,0,0,0,3270
6,4,720,540,true,53,13,7,0.960732,0.931567,1.925425,2.547374,10.387011,0.332508,0.612771,1.097546,38,26,12,17,22,115,115,,115,189,54,51,55,,53,0,71,0,1051,192,0,0,0,0,0,0,0,2931
6,5,720,540,true,51,12,7,0.947795,0.887809,1.622692,3.254558,10.015134,0.221463,0.522151,1.284244,35,14,15,14,25,103,103,,103,186,52,44,52,,51,0,53,0,799,198,0,0,0,0,0,0,0,2537
7,0,720,540,true,20,18,3,0.934342,60.437405,1731.920410,2.560365,8.863250,0.249850,12.165553,28.873360,36,25,56,7,2,126,126,,126,166,45,55,30,,20,0,72,0,798,178,0,0,0,0,0,0,0,2704
7,1,720,540,true,38,9,7,0.699426,0.785837,1.396210,1.347993,5.665977,0.372788,0.613970,1.317522,31,9,13,13,12,78,78,,78,122,38,35,38,,38,0,44,0,547,83,0,0,0,0,0,0,0,1884
7,2,720,540,true,45,12,5,0.885443,0.593104,1.448460,3.840503,8.656275,0.284691,0.471423,1.165585,34,9,10,14,21,88,88,,88,155,49,37,48,,45,0,55,0,772,140,0,0,0,0,0,0,0,2858
7,3,720,540,true,20,10,6,0.721873,20.733244,43.256428,1.794185,11.073021,0.276019,0.501410,1.112773,30,25,20,11,7,93,93,,93,126,35,45,29,,20,0,161,0,1020,110,0,0,0,0,0,0,0,2711
7,4,720,540,true,42,11,6,0.850482,0.846452,1.901245,2.420783,9.265234,0.341212,0.518418,1.092907,32,21,10,15,13,91,91,,91,138,42,42,42,,42,0,69,0,896,170,0,0,0,0,0,0,0,1986
7,5,720,540,true,50,11,7,0.834780,0.942824,1.958882,2.530640,8.687427,0.344989,0.563570,1.146436,42,15,19,15,16,107,107,,107,162,50,49,50,,50,0,155,0,972,224,0,0,0,0,0,0,0,2307
8,0,720,540,true,20,16,3,0.916934,44.961147,92.058289,2.127126,13.140437,0.310020,3.125010,29.912069,59,28,45,5,1,138,138,,138,137,39,78,23,,20,0,262,0,1138,216,0,0,0,0,0,0,0,2143
8,1,720,540,true,48,12,6,0.942765,0.806475,1.552006,2.319758,5.827900,0.277503,0.597033,1.210958,24,12,12,11,23,82,82,,82,161,51,29,50,,48,0,48,0,550,120,0,0,0,0,0,0,0,2616
8,2,720,540,true,50,12,5,0.902883,0.910389,2.118164,2.949379,9.224225,0.217251,0.521220,1.267280,20,7,7,20,21,75,75,,75,165,50,24,50,,50,0,12,0,521,98,0,0,0,0,0,0,0,2101
8,3,720,540,true,41,12,9,0.911498,3.398675,11.267204,2.122413,7.500531,0.334475,0.478864,1.128284,26,22,16,9,21,94,94,,94,165,47,36,45,,41,0,50,0,714,112,0,0,0,0,0,0,0,2839
8,4,720,540,true,51,13,7,0.953294,0.859297,2.616391,2.068755,9.886193,0.273391,0.547194,1.276047,29,25,12,19,17,102,102,,102,174,53,38,53,,51,0,61,0,875,188,0,0,0,0,0,0,0,2772
8,5,720,540,true,50,12,8,0.922573,0.845618,1.620637,2.677625,7.502690,0.320937,0.578654,1.039537,40,14,10,18,19,101,101,,101,164,52,45,52,,50,0,118,0,1005,198,0,0,0,0,0,0,0,2704
9,0,720,540,false,0,0,0,,,,2.800036,10.569622,0.338274,,,39,31,49,1,0,120,120,,120,132,43,60,0,,0,0,112,0,907,142,0,0,0,0,0,0,0,1695
9,1,720,540,true,56,12,8,0.960842,0.820773,1.424811,2.692017,8.728846,0.339931,0.457217,0.980321,38,14,22,17,17,108,108,,108,177,62,44,59,,56,0,106,0,925,228,0,0,0,0,0,0,0,3045
9,2,720,540,true,44,12,6,0.833911,0.792505,1.642163,2.891122,10.679629,0.269477,0.500072,1.087748,31,22,8,17,18,96,96,,96,161,44,42,44,,44,0,69,0,825,198,0,0,0,0,0,0,0,2171
9,3,720,540,true,45,10,8,0.863249,0.769817,1.367235,2.191767,6.810177,0.316820,0.444027,1.025629,26,10,14,12,18,80,80,,80,146,46,31,46,,45,0,107,0,626,95,0,0,0,0,0,0,0,2229
9,4,720,540,true,53,12,6,0.916639,0.817437,1.294793,2.157356,6.067913,0.285168,0.550858,0.989280,33,18,13,16,21,101,101,,101,176,54,42,54,,53,0,85,0,936,216,0,0,0,0,0,0,0,2436
9,5,720,540,true,52,11,8,0.833207,0.809388,2.869429,2.334040,8.662169,0.300780,0.511421,3.398692,50,12,18,13,19,112,112,,112,163,54,55,54,,52,0,65,0,997,212,0,0,0,0,0,0,0,2824
10,0,720,540,true,34,12,8,0.940640,20.170897,48.179077,2.065640,11.049689,0.343460,0.521493,1.307737,37,39,34,12,14,136,136,,136,199,47,56,42,,34,0,159,0,1318,163,0,0,0,0,0,0,0,3510
10,1,720,540,true,49,12,8,0.958495,1.009651,1.866361,2.214115,7.021913,0.349049,0.533420,1.254042,35,21,15,15,16,102,102,,102,160,54,43,51,,49,0,52,0,629,99,0,0,0,0,0,0,0,2591
10,2,720,540,true,47,12,6,0.911163,0.743113,1.608180,3.189975,8.799073,0.352821,0.531053,1.440863,33,17,11,16,18,95,95,,95,159,47,42,47,,47,0,105,0,862,198,0,0,0,0,0,0,0,2133
10,3,720,540,true,20,16,4,0.899349,28.996168,50.340714,2.535612,9.062790,0.380675,17.311323,34.131504,32,21,43,6,5,107,107,,107,145,46,45,26,,20,0,61,0,933,163,0,0,0,0,0,0,0,2205
10,4,720,540,true,48,12,7,0.944718,0.854982,1.590275,1.789387,4.832291,0.295301,0.643835,1.171030,37,7,17,13,17,91,91,,91,148,48,41,48,,48,0,95,0,780,143,0,0,0,0,0,0,0,2117
10,5,720,540,true,49,12,6,0.952100,0.913994,1.653032,2.861287,8.030445,0.325157,0.526205,1.105338,35,10,8,14,23,90,90,,90,160,49,38,49,,49,0,34,0,819,97,0,0,0,0,0,0,0,2116
11,0,720,540,true,31,8,7,0.741629,0.638473,1.817735,1.782488,10.218892,0.206263,0.443772,1.145447,25,13,26,15,15,94,94,,94,170,43,32,37,,31,0,68,0,779,111,0,0,0,0,0,0,0,2848
11,1,720,540,true,50,12,7,0.918531,0.819458,1.700240,2.997203,7.985120,0.301461,0.587356,1.239193,40,11,13,19,18,101,101,,101,166,51,46,51,,50,0,44,0,651,111,0,0,0,0,0,0,0,2381
11,2,720,540,true,21,6,4,0.430405,0.660340,1.664006,4.809252,17.300869,0.378040,0.700639,1.692106,37,22,10,8,3,80,80,,80,78,24,47,24,,21,0,131,0,621,229,0,0,0,0,0,0,0,2017
