target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
0,0,720,540,false,0,0,0,,,,2.072235,6.622962,0.325298,,,40,28,35,9,7,119,119,,119,153,48,53,32,,0,0,82,0,842,80,0,0,0,0,0,0,0,4678
0,1,720,540,true,44,10,7,0.881212,1.030609,1.971639,2.347358,6.368359,0.401666,0.760152,1.445165,38,22,14,12,15,101,101,,101,146,44,47,44,,44,0,64,0,888,115,0,0,0,0,0,0,0,2442
0,2,720,540,true,40,11,5,0.889226,0.793330,1.407251,3.917578,8.860941,0.356042,0.587969,1.240274,39,9,9,17,9,83,83,,83,114,40,42,40,,40,0,68,0,686,106,0,0,0,0,0,0,0,2122
0,3,720,540,false,0,0,0,,,,2.164719,9.910492,0.280150,,,42,22,29,9,5,107,107,,107,127,42,54,30,,0,0,56,0,765,132,0,0,0,0,0,0,0,3555
0,4,720,540,true,46,11,6,0.913830,0.883436,1.581203,2.045560,5.910989,0.325390,0.574575,1.163394,42,9,13,14,15,93,93,,93,137,46,46,46,,46,0,56,0,861,141,0,0,0,0,0,0,0,2274
0,5,720,540,true,45,11,6,0.904412,0.844533,1.781075,3.238218,8.572120,0.257474,0.614264,1.234868,34,8,11,13,21,87,87,,87,153,47,38,46,,45,0,43,0,706,81,0,0,0,0,0,0,0,2452
1,0,720,540,true,30,14,6,0.925475,25.780987,55.363995,2.229100,9.896371,0.268235,0.493949,1.152368,48,34,27,7,7,123,123,,123,137,39,64,32,,30,0,108,0,679,79,0,0,0,0,0,0,0,2539
1,1,720,540,true,43,12,7,0.926200,0.753999,1.567901,2.078030,6.485989,0.322587,0.553475,1.146578,26,24,15,11,14,90,90,,90,143,43,36,43,,43,0,42,0,598,64,0,0,0,0,0,0,0,2575
1,2,720,540,true,47,11,6,0.847484,0.795293,1.914618,3.094054,8.740224,0.322699,0.569009,1.529849,49,17,14,17,7,104,104,,104,124,47,54,47,,47,0,88,0,705,117,0,0,0,0,0,0,0,2645
1,3,720,540,true,20,14,4,0.923555,26.177332,59.561501,2.221519,6.812021,0.316189,0.714258,1.164206,38,22,25,8,7,100,100,,100,124,37,56,32,,20,0,182,0,1123,154,0,0,0,0,0,0,0,3487
