target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
0,0,720,540,false,0,0,0,,,,2.946694,18.372034,0.325298,,,18,26,51,12,12,119,119,,119,212,76,33,50,,0,0,270,0,793,225,0,0,0,0,0,0,0,5815
0,1,720,540,true,44,12,6,0.950615,0.662943,1.549087,2.814270,20.917946,0.401666,0.690919,1.194059,12,25,26,20,18,101,101,,101,209,66,26,56,,44,0,306,0,758,227,0,0,0,0,0,0,0,6227
0,2,720,540,true,46,12,7,0.957952,0.892865,1.719861,4.521503,19.517294,0.356042,0.681567,1.376200,5,20,18,21,19,83,83,,83,195,55,22,53,,46,0,240,0,591,183,0,0,0,0,0,0,0,3907
0,3,720,540,false,0,0,0,,,,3.353500,20.451908,0.280150,,,11,20,41,27,8,107,107,,107,215,60,24,41,,0,0,299,0,694,249,0,0,0,0,0,0,0,4466
0,4,720,540,true,46,11,6,0.913830,1.032134,1.970035,2.789244,19.090023,0.325390,0.665307,2.648179,17,16,22,18,20,93,93,,93,194,50,31,48,,46,0,277,0,704,255,0,0,0,0,0,0,0,2599
0,5,720,540,true,51,12,7,0.960806,1.087997,2.020775,3.528435,17.017662,0.257474,0.613843,1.297965,10,13,22,17,25,87,87,,87,208,58,27,55,,51,0,261,0,687,153,0,0,0,0,0,0,0,3566
1,0,720,540,true,27,14,6,0.926292,27.261768,49.661377,2.791034,17.762318,0.268235,0.516612,1.179182,17,44,39,13,10,123,123,,123,201,42,47,34,,27,0,346,0,807,189,0,0,0,0,0,0,0,2775
1,1,720,540,true,43,12,6,0.946353,0.644374,1.234435,2.443350,18.449898,0.322587,0.544732,1.117636,7,17,30,19,17,90,90,,90,202,62,19,53,,43,0,205,0,568,184,0,0,0,0,0,0,0,4621
1,2,720,540,false,0,0,0,,,,5.066102,20.379059,0.322699,,,14,26,22,25,17,104,104,,104,213,71,27,56,,0,0,226,0,756,268,0,0,0,0,0,0,0,5598
1,3,720,540,false,0,0,0,,,,3.785264,19.513441,0.316189,,,8,24,40,17,11,100,100,,100,199,61,28,50,,0,0,307,0,935,294,0,0,0,0,0,0,0,4626
1,4,720,540,true,49,12,7,0.890373,0.768254,1.996353,2.457748,19.476107,0.312655,0.536833,1.381563,12,19,19,20,21,91,91,,91,201,53,26,52,,49,0,291,0,686,211,0,0,0,0,0,0,0,2832
1,5,720,540,true,56,13,8,0.961907,1.057764,2.146388,3.671910,17.176247,0.263979,0.505840,1.211121,13,17,18,20,26,94,94,,94,217,60,30,59,,56,0,229,0,668,146,0,0,0,0,0,0,0,3168
2,0,720,540,false,0,0,0,,,,2.999355,20.286509,0.321021,,,16,38,37,23,14,128,128,,128,237,47,39,57,,0,0,406,0,881,223,0,0,0,0,0,0,0,7472
2,1,720,540,true,51,12,7,0.944412,0.796035,1.649732,2.249372,18.795177,0.367657,0.548751,1.075858,9,21,28,19,19,96,96,,96,210,60,23,53,,51,0,285,0,674,217,0,0,0,0,0,0,0,2747
2,2,720,540,true,52,12,7,0.912682,1.014508,1.736319,5.415875,22.344555,0.316928,0.648502,1.680064,19,27,23,22,18,109,109,,109,211,68,34,56,,52,0,264,0,766,292,0,0,0,0,0,0,0,3423
2,3,720,540,false,0,0,0,,,,2.533017,19.076527,0.409793,,,11,12,41,16,8,88,88,,88,174,51,27,41,,0,0,263,0,837,209,0,0,0,0,0,0,0,3886
2,4,720,540,true,49,12,7,0.954204,0.853989,1.954752,3.161258,20.650394,0.282381,0.622477,1.038193,12,22,26,22,20,102,102,,102,220,70,26,57,,49,0,268,0,740,290,0,0,0,0,0,0,0,4477
2,5,720,540,true,50,13,6,0.964089,0.747238,1.578209,3.432302,18.978035,0.250733,0.446547,0.972565,20,14,24,16,25,99,99,,99,210,59,36,55,,50,0,253,0,745,208,0,0,0,0,0,0,0,3471
3,0,720,540,true,26,15,6,0.918455,24.849010,48.179718,2.000030,18.277723,0.340162,0.491592,0.809953,17,23,33,22,12,107,107,,107,203,50,32,41,,26,0,226,0,683,183,0,0,0,0,0,0,0,3959
3,1,720,540,true,56,13,8,0.948008,0.777015,1.548656,2.171139,19.295612,0.379817,0.531991,1.027089,8,27,29,24,18,106,106,,106,229,75,22,58,,56,0,291,0,758,265,0,0,0,0,0,0,0,2879
3,2,720,540,true,58,14,6,0.966999,0.834357,1.714778,4.400773,21.282351,0.302850,0.525256,0.985311,17,33,23,21,24,118,118,,118,238,66,39,62,,58,0,270,0,844,309,0,0,0,0,0,0,0,3619
3,3,720,540,false,0,0,0,,,,2.124175,19.356579,0.353300,,,12,12,41,13,7,85,85,,85,161,55,22,42,,0,0,158,0,527,107,0,0,0,0,0,0,0,3444
3,4,720,540,true,55,13,7,0.950249,0.939793,1.537548,2.330235,17.483843,0.266565,0.644262,1.298777,9,20,21,20,26,96,96,,96,226,62,27,60,,55,0,299,0,715,214,0,0,0,0,0,0,0,3736
3,5,720,540,false,0,0,0,,,,3.478670,19.002789,0.307649,,,21,29,22,19,31,122,122,,122,254,69,43,66,,0,0,292,0,961,328,0,0,0,0,0,0,0,2934
4,0,720,540,true,45,10,10,0.952541,0.803564,1.347399,2.863366,20.842411,0.426133,0.399424,0.953575,22,34,43,16,17,132,132,,132,236,55,43,50,,45,0,360,0,1013,266,0,0,0,0,0,0,0,3470
4,1,720,540,false,0,0,0,,,,3.044297,20.376286,0.412785,,,18,24,32,13,13,100,100,,100,179,58,33,50,,0,0,268,0,851,201,0,0,0,0,0,0,0,4617
4,2,720,540,true,32,11,5,0.962966,12.381645,22.315571,3.794361,21.128746,0.365826,0.714385,1.946970,18,21,16,17,22,94,94,,94,192,56,35,47,,32,0,154,0,548,194,0,0,0,0,0,0,0,4640
4,3,720,540,false,0,0,0,,,,3.422007,19.756241,0.315670,,,7,23,53,17,4,104,104,,104,196,66,25,42,,0,0,165,0,549,143,0,0,0,0,0,0,0,3556
4,4,720,540,true,44,11,6,0.920058,0.949413,1.977651,2.475370,19.555870,0.229578,0.630176,1.301946,5,14,19,14,19,71,71,,71,170,50,17,47,,44,0,215,0,535,117,0,0,0,0,0,0,0,2541
4,5,720,540,true,52,12,7,0.951716,1.194469,1.915377,3.654397,20.522261,0.361261,0.651725,1.447344,10,18,28,18,29,103,103,,103,244,71,22,61,,52,0,320,0,902,250,0,0,0,0,0,0,0,4655
5,0,720,540,false,0,0,0,,,,3.595603,18.548536,0.402473,,,14,35,27,13,10,99,99,,99,168,34,31,32,,0,0,187,0,681,133,0,0,0,0,0,0,0,2861
5,1,720,540,true,40,12,5,0.950365,0.791466,1.379957,2.027214,11.866607,0.326647,0.524932,1.097643,4,19,14,18,14,69,69,,69,157,41,20,41,,40,0,211,0,513,124,0,0,0,0,0,0,0,2169
5,2,720,540,true,37,10,7,0.807865,3.288326,6.550925,3.266571,21.571882,0.292952,0.578186,1.407586,12,14,15,17,18,76,76,,76,167,51,24,45,,37,0,154,0,453,165,0,0,0,0,0,0,0,3780
5,3,720,540,false,0,0,0,,,,3.538325,19.736666,0.465523,,,9,26,44,14,2,95,95,,95,164,51,22,32,,0,0,376,0,829,219,0,0,0,0,0,0,0,2471
5,4,720,540,false,0,0,0,,,,3.761611,20.302778,0.412747,,,12,16,24,14,18,84,84,,84,178,53,24,49,,0,0,249,0,636,190,0,0,0,0,0,0,0,3016
5,5,720,540,true,45,11,5,0.891635,0.966609,1.840183,3.151566,19.801292,0.444461,0.571468,1.271296,11,31,23,15,17,97,97,,97,190,53,33,52,,45,0,229,0,719,172,0,0,0,0,0,0,0,4114
6,0,720,540,false,0,0,0,,,,3.818964,20.592611,0.322890,,,10,25,60,15,6,116,116,,116,214,59,26,39,,0,0,160,0,599,203,0,0,0,0,0,0,0,3665
6,1,720,540,true,47,12,8,0.960103,4.079620,8.286747,2.070422,17.797642,0.377122,0.530354,2.187014,17,18,22,12,21,90,90,,90,182,55,28,53,,47,0,310,0,652,203,0,0,0,0,0,0,0,3475
6,2,720,540,true,48,12,7,0.941895,0.805323,2.030352,3.652539,20.473766,0.287662,0.683765,1.919969,12,37,17,21,24,111,111,,111,230,68,34,59,,48,0,240,0,779,259,0,0,0,0,0,0,0,5248
6,3,720,540,false,0,0,0,,,,3.130344,18.887850,0.249773,,,6,26,42,15,15,104,104,,104,215,52,28,45,,0,0,233,0,653,248,0,0,0,0,0,0,0,4141
6,4,720,540,true,55,13,7,0.960732,1.046726,2.517334,3.349825,21.690332,0.332508,0.689236,2.264551,13,32,27,17,26,115,115,,115,241,68,34,62,,55,0,293,0,890,309,0,0,0,0,0,0,0,4422
6,5,720,540,true,54,13,8,0.956033,0.765397,2.345433,4.374051,21.675251,0.221463,0.642525,2.147756,9,22,24,21,27,103,103,,103,241,65,27,62,,54,0,210,0,692,262,0,0,0,0,0,0,0,4439
7,0,720,540,true,22,18,4,0.934342,29.876432,56.396347,3.377365,21.120256,0.249850,0.604489,1.263741,12,32,50,30,2,126,126,,126,230,66,28,38,,22,0,215,0,777,304,0,0,0,0,0,0,0,3731
7,1,720,540,true,38,9,6,0.699426,0.800531,1.595174,1.919515,20.287151,0.372788,0.614833,1.059195,14,17,17,14,16,78,78,,78,157,55,22,46,,38,0,196,0,467,149,0,0,0,0,0,0,0,3478
7,2,720,540,true,44,12,5,0.885443,0.533232,1.355045,4.373217,18.330671,0.284691,0.495893,1.296619,18,16,11,22,21,88,88,,88,188,53,31,50,,44,0,273,0,671,187,0,0,0,0,0,0,0,3479
